Gender,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Tenure (months),Monthly Charges ($),Total Charges ($),Churn Prediction,flag,username,timestamp
Female,Yes,No,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,1,85,85,,,,2026-05-31 23:11:57.383755
Female,Yes,No,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,1,85,85,,,,2026-05-31 23:12:03.577851
Male,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,85,85,,,,2026-05-31 23:12:21.952155
Male,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,85,85,,,,2026-05-31 23:12:26.118731
Male,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,85,85,,,,2026-05-31 23:12:36.553168
Male,Yes,No,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),1,85,82,,,,2026-05-31 23:13:24.844080
Female,No,No,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3,104,4500,Not likely to churn,,,2026-06-01 13:20:03.113011
Male,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,2,90,3400,Not likely to churn,,,2026-06-01 13:21:23.451221
Male,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Electronic check,2,90,3400,Not likely to churn,,,2026-06-01 13:21:27.411255
Male,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,85,85,Likely to churn,,,2026-06-01 13:22:23.995443
